Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-web-combination-sample - Create and update a task by both API and UI,Chrome 110.0.0.0,,,2023-02-16 23:00:30,2023-02-16 23:01:10,39.672s,FAILED
,,,,,,,
Test Cases/Create a new ticket by API,Chrome 110.0.0.0,,,2023-02-16 23:00:31,2023-02-16 23:00:40,9.080s,PASSED
"sample.Common.createNewTicket(project, issueType, summary, expectedStatus)",Chrome 110.0.0.0,,,2023-02-16 23:00:31,2023-02-16 23:00:40,8.595s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-02-16 23:00:40,2023-02-16 23:00:40,0.015s,PASSED
,,,,,,,
Test Cases/Create and update a ticket by both API and UI,Chrome 110.0.0.0,,,2023-02-16 23:00:40,2023-02-16 23:01:10,29.863s,FAILED
"ticketKey = sample.Common.createNewTicket(project, issueType, summary)",Chrome 110.0.0.0,create a new task by calling api,,2023-02-16 23:00:40,2023-02-16 23:00:43,2.790s,PASSED
sample.Common.accessJira(),Chrome 110.0.0.0,access to Jira and bypass authorization,,2023-02-16 23:00:43,2023-02-16 23:01:02,19.485s,PASSED
"sample.Common.updateExistingTicket(ticketKey, newSummary)",Chrome 110.0.0.0,update the name of the task on UI,,2023-02-16 23:01:02,2023-02-16 23:01:10,7.275s,FAILED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-02-16 23:01:10,2023-02-16 23:01:10,0.002s,PASSED
